,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens
20,20260505-012809,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,1,158.366974045,200,0,204800,25600,1.2628895715540411,,161.64986515891727,1454.8487864302554,166.0,3,0.0,58.80318564504023,57.383508999919286,16.86205831525737,62.307257500101514,5.770737668425051,5.743430173227775,0.054702310145059246,5.9069482086637235,5.770738652677264,5.7590900000832335,0.12475301254890055,6.001721989860016,791.6868695350217,787.4931554999876,19.222215016985384,809.1535933899104,0,s03,256,65536
21,20260505-013057,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,1,157.4150787630001,200,0,204800,25600,1.2705263153418396,,162.62736836375547,1463.6463152737992,166.0,3,0.0,57.38163361998204,57.132383999714875,1.6977824202688248,61.62276700027178,5.744451957913583,5.742286397637545,0.016746260362811332,5.804389534724921,5.744452866181184,5.751559999680467,0.10779602595962767,5.926021300060711,786.9270322750072,786.5614064999136,2.5918686785324208,792.4925011000277,1,s03,256,65536
22,20260505-013214,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,23,23.075406523999845,200,0,204800,25600,8.667236253974016,,1109.406240508674,9984.656164578068,1449.0,46,0.0,432.43778496498635,474.01417099990795,145.0221147466883,588.0959012000221,16.925378070826948,16.8178072283479,1.3379181913585443,19.92771983386115,16.925378648779606,16.40562499983389,11.208472027940564,62.5667848998728,2581.960799960009,2614.0227999999297,166.06758798026937,2705.0047283998947,0,s03,256,65536
23,20260505-013249,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,23,23.544208465999873,200,0,204800,25600,8.494658050994556,,1087.316230527303,9785.846074745728,1449.0,46,0.0,480.3011350750262,536.9007899998905,142.8551081943722,592.5193428002649,16.913016024330595,16.938743527557172,1.1357342428350736,19.722938062128755,16.91301656330695,16.385559000127614,10.425423180091329,49.985700500301384,2628.254170165012,2678.2857639998383,160.32212094124276,2718.564422600439,1,s03,256,65536
24,20260505-013317,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,45,17.959360887000003,200,0,204800,25600,11.136253748582517,,1425.4404798185622,12828.964318367058,2115.0,90,0.0,813.4647568399828,889.643809999825,263.71184220514965,1120.088445799629,22.991848020866275,22.776473480315495,2.700383658050636,29.078268581968864,22.99184857834639,22.217114000113725,20.680773034671873,70.10121209990301,3733.42945549,3863.2848959998682,407.08945006426654,3912.667588499835,0,s03,256,65536
25,20260505-013347,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,45,18.201479968999593,200,0,204800,25600,10.988117468504546,,1406.479035968582,12658.311323717237,2115.0,90,0.0,852.2998689350175,959.2132990001119,310.0296456688366,1117.8537744002233,23.092048147598483,23.314515755905312,2.637161243414632,29.432771893623787,23.09204870901569,22.242939999841838,18.307514327712376,70.9451107001496,3784.989983680025,3935.8377049998126,430.8373316503761,3955.0540441997146,1,s03,256,65536
26,20260505-013412,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,67,14.948976701999982,200,0,204800,25600,13.378842176751975,,1712.4917986242529,15412.426187618275,2546.0,133,0.0,1342.594317300011,1488.7473609999233,328.3904611991685,1630.5035238001255,28.605949834606502,27.331203877954216,2.435911415091913,37.40271625984223,28.605950379488377,27.091844499864237,29.136798607961925,75.44952970025861,4975.5499462950365,5031.942756000262,95.213671604957,5068.33555530025,0,s03,256,65536
27,20260505-013438,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,67,14.893907793999915,200,0,204800,25600,13.428309263507794,,1718.8235857289976,15469.41227156098,2613.0,133,0.0,1314.0088563450036,1486.8046349999986,340.2031971828766,1626.4791657000387,28.6801059306298,27.34400947243973,2.5254459212604146,37.617871237797466,28.68010647984255,26.939735000041765,29.294558183096385,73.65519460014183,4956.382309534988,5014.839332000065,84.91688623421638,5027.047547700008,1,s03,256,65536
28,20260505-013503,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,89,14.421230041999934,200,0,204800,25600,13.868442526575496,,1775.1606434016635,15976.445790614971,3065.0,138,0.0,1568.823031839986,1783.7876149999374,611.2783540435249,2101.7369033000705,31.75052001377955,32.75524710236315,6.134900956109407,44.23962608181163,31.750520579133877,30.517844000314653,37.49617248051764,112.02679809980962,5601.139073589989,5945.869497000103,1083.0698990901165,6077.585547900103,0,s03,256,65536
29,20260505-013529,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,89,14.551391419999618,200,0,204800,25600,13.744390088023984,,1759.28193126707,15833.53738140363,3026.0,144,0.0,1631.8620231000205,2008.1762809998054,579.9054355323734,2128.9453897003796,31.480182016535373,31.601712748032167,5.934780492268703,45.05015359283434,31.48018250511804,30.656903999897622,37.99489656523595,80.95039650021116,5629.845139200012,6020.456290000084,1069.5039942521694,6024.241714090263,1,s03,256,65536
30,20260505-013553,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,111,12.84421122699996,200,0,204800,25600,15.571216983692839,,1993.1157739126834,17938.04196521415,3441.0,200,0.0,1987.77044518499,2008.1958360001408,533.147330178926,2650.690530199745,35.31935776169287,35.05013859842613,4.166984263883529,45.49662172999877,35.319358241614104,31.974664000244957,44.7404941235996,85.65794049980923,6473.328880919985,6868.0688160000045,504.07238879221904,6986.969567999859,0,s03,256,65536
31,20260505-013616,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,111,12.892913056999987,200,0,204800,25600,15.512398099311886,,1985.5869567119214,17870.282610407292,3441.0,200,0.0,2032.7704267250008,2082.450850999976,514.4416242489232,2650.9943160997773,35.10905684523609,35.86179086614255,4.452299854451143,44.66932572874008,35.10905730350389,31.645419999904334,43.97455846516139,92.32236309992459,6491.620646069984,6911.504366000145,492.5891372502447,6954.118671399738,1,s03,256,65536
32,20260505-013640,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,133,12.871544117000212,200,0,204800,25600,15.538151303529165,,1988.8833668517332,17899.950301665598,3591.0,200,0.0,2107.8671570100187,2136.8238850000125,837.7466639884595,3178.054220200006,38.03557579094483,38.09590700787583,7.77759255356939,50.183490235589815,38.035576262204636,36.24426000010317,53.36349472275703,105.35739529966122,6938.385282460013,7926.378759000045,1427.0489846550938,8014.41596159993,0,s03,256,65536
33,20260505-013704,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,133,12.801650068000072,200,0,204800,25600,15.622986016461615,,1999.7422101070867,17997.67989096378,3724.0,200,0.0,2110.416244980015,1575.553273999958,832.113482837632,3173.285793699588,37.65975869066913,37.57511296062936,7.647586474402391,49.52383201740378,37.65975915917298,35.56935400001748,53.22066673599127,104.92409690017666,6893.2055986949945,7853.7876299999425,1398.8422579939581,7944.793988799697,1,s03,256,65536
34,20260505-013727,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,155,12.567425561999698,200,0,204800,25600,15.914158314551138,,2037.0122642625456,18333.11037836291,4185.0,200,0.0,2479.540038030018,2727.1776840000257,1112.9243641288351,3702.574936599849,40.64640838586611,40.688499519684754,10.617012693545394,58.40290248661672,40.646408870118286,39.32589900000494,64.89651998478786,97.67231969980458,7641.6339030350155,8700.176341000088,2032.531805467997,8967.526858499668,0,s03,256,65536
35,20260505-013751,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,155,12.618979645999843,200,0,204800,25600,15.849141975864828,,2028.690172910698,18258.211556196282,4030.0,200,0.0,2452.958961404979,2967.663700999992,1123.5291642474876,3677.614698199577,41.38692134551183,41.1171004173243,11.25006334061892,56.859050330707944,41.3869218136221,39.66045899983328,66.77734761881885,115.26820509990101,7709.097972284981,8824.277123999991,2101.5303006445324,8898.823963500075,1,s03,256,65536
36,20260505-013814,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,177,12.36065083800031,200,0,204800,25600,16.180377766609233,,2071.088354125982,18639.795187133834,4248.0,200,0.0,2915.6196649199865,2777.6804099999026,1238.8589907947653,4241.73468199976,47.74694873787402,46.70629725984241,12.852060177446035,66.21344689834889,47.74694922960636,42.85115499988024,79.35371153651182,365.9611123001696,8979.482154629988,9735.315475000107,2274.2192571236533,10018.94389449968,0,s03,256,65536
37,20260505-013837,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,177,12.259628376999899,200,0,204800,25600,16.313708201401678,,2088.1546497794147,18793.391848014733,4248.0,200,0.0,2887.7931709449877,3606.2564110002313,1254.2476817124518,4204.830498899837,48.10100638586631,48.86446540944786,12.830650153840288,68.69465889141715,48.101006855157536,42.86013999990246,81.29805256844449,246.4407656998855,8996.620981950009,9811.587487999986,2311.0860591993237,10059.45439890008,1,s03,256,65536
38,20260505-013119,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,200,10.702763245999904,200,0,204800,25600,18.686762979153897,,2391.905661331699,21527.150951985288,4600.0,200,0.0,3748.9225515749945,4125.826448999987,1090.7722326873832,4897.214364799947,54.40140133059048,51.502226118109895,8.333713147842891,73.86237280157293,54.40997031607314,46.68000900005609,96.63355366091388,48.71434849967499,10657.900520559986,10666.070686000012,42.935316403624356,10689.472107799833,0,s03,256,65536
39,20260505-013140,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,200,10.5931649070003,200,0,204800,25600,18.880098795387735,,2416.65264580963,21749.87381228667,4468.0,200,0.0,3563.451100424984,3805.549610000071,1142.0449425251952,4807.14160059963,54.966778366771585,53.10133637007719,8.749091327551778,75.1783953062985,54.96894294917109,46.43499899975723,98.69046101697097,106.3594797998212,10544.231953004975,10549.284189000218,34.76857857680202,10577.75756459966,1,s03,256,65536
